"MODE_DSC","CARRIER_TYPE","FREIGHT_RATES_ID","PORTCARRIER_ID"
"AIR   ","V88888888_0",3073,7453
"AIR   ","V88888888_0",3074,7453
"AIR   ","V88888888_0",3075,7431
"AIR   ","V88888888_0",3076,7431
"AIR   ","V88888888_0",3077,7431
"AIR   ","V88888888_0",3078,7431
"AIR   ","V88888888_0",3079,7431
"AIR   ","V88888888_0",3080,7432
"AIR   ","V88888888_0",3081,7432
"AIR   ","V88888888_0",3082,7432
"AIR   ","V88888888_0",3083,7432
"AIR   ","V88888888_0",3084,7432
"AIR   ","V88888888_0",3085,7454
"AIR   ","V88888888_0",3086,7454
"AIR   ","V88888888_0",3087,7454
"AIR   ","V88888888_0",3088,7454
"AIR   ","V88888888_0",3089,7454
"AIR   ","V888888883_1",3090,7443
"AIR   ","V888888883_1",3091,7443
"AIR   ","V888888883_1",3092,7443
"AIR   ","V888888883_1",3093,7443
"AIR   ","V888888883_1",3094,7443
"AIR   ","V888888883_1",3095,7443
"AIR   ","V888888883_1",3096,7443
"AIR   ","V888888883_1",3097,7443
"AIR   ","V888888883_1",3098,7443
"AIR   ","V888888883_1",3099,7443
"AIR   ","V888888883_1",3100,7443
"AIR   ","V888888883_1",3101,7443
"AIR   ","V888888883_1",3102,7443
"AIR   ","V888888883_1",3103,7443
"AIR   ","V888888883_1",3104,7443
"AIR   ","V888888883_1",3105,7443
"AIR   ","V888888883_1",3106,7443
"AIR   ","V888888883_1",3107,7443
"AIR   ","V888888883_1",3108,7443
"AIR   ","V888888883_1",3109,7443
"AIR   ","V88888888_0",3110,7455
"AIR   ","V88888888_0",3111,7455
"AIR   ","V88888888_0",3112,7455
"AIR   ","V88888888_0",3113,7455
"AIR   ","V88888888_0",3114,7455
"AIR   ","V88888888_0",3115,7433
"AIR   ","V88888888_0",3116,7433
"AIR   ","V88888888_0",3117,7433
"AIR   ","V88888888_0",3118,7433
"AIR   ","V88888888_0",3119,7433
"AIR   ","V88888888_0",3120,7434
"AIR   ","V88888888_0",3121,7434
"AIR   ","V88888888_0",3122,7434
"AIR   ","V88888888_0",3123,7434
"AIR   ","V88888888_0",3124,7434
"AIR   ","V88888888_0",3125,7434
"AIR   ","V88888888_0",3126,7434
"AIR   ","V88888888_0",3127,7434
"AIR   ","V88888888_0",3128,7434
"AIR   ","V88888888_0",3129,7434
"AIR   ","V88888888_0",3130,7434
"AIR   ","V88888888_0",3131,7434
"AIR   ","V88888888_0",3132,7434
"AIR   ","V88888888_0",3133,7434
"AIR   ","V88888888_0",3134,7434
"AIR   ","V88888888_0",3135,7435
"AIR   ","V88888888_0",3136,7435
"AIR   ","V88888888_0",3137,7435
"AIR   ","V88888888_0",3138,7435
"AIR   ","V88888888_0",3139,7435
"AIR   ","V88888888_0",3140,7436
"AIR   ","V88888888_0",3141,7436
"AIR   ","V88888888_0",3142,7436
"AIR   ","V88888888_0",3143,7436
"AIR   ","V88888888_0",3144,7436
"AIR   ","V888888883_1",3145,7437
"AIR   ","V888888883_1",3146,7437
"AIR   ","V888888883_1",3147,7437
"AIR   ","V888888883_1",3148,7437
"AIR   ","V888888883_1",3150,7437
"AIR   ","V888888883_1",3151,7437
"AIR   ","V888888883_1",3152,7437
"AIR   ","V888888883_1",3153,7437
"AIR   ","V888888883_1",3154,7437
"AIR   ","V888888883_1",3155,7437
"AIR   ","V888888883_1",3156,7437
"AIR   ","V888888883_1",3157,7437
"AIR   ","V888888883_1",3158,7437
"AIR   ","V888888883_1",3159,7437
"AIR   ","V888888883_1",3160,7437
"AIR   ","V888888883_1",3161,7437
"AIR   ","V888888883_1",3162,7437
"AIR   ","V888888883_1",3163,7437
"AIR   ","V888888883_1",3164,7437
"AIR   ","V888888883_1",3165,7437
"AIR   ","V888888883_1",3166,7437
"AIR   ","V888888883_1",3167,7437
"AIR   ","V888888883_1",3168,7437
"GROUND","V88888888_0",3169,7438
"AIR   ","V88888888_0",3170,7456
"AIR   ","V88888888_0",3171,7456
"AIR   ","V88888888_0",3172,7456
"AIR   ","V88888888_0",3173,7456
"AIR   ","V88888888_0",3174,7456
"AIR   ","V88888888_0",3175,7439
"AIR   ","V88888888_0",3176,7439
"AIR   ","V88888888_0",3177,7439
"AIR   ","V88888888_0",3178,7439
"AIR   ","V88888888_0",3179,7439
"AIR   ","V88888888_0",3180,7440
"AIR   ","V88888888_0",3181,7440
"AIR   ","V88888888_0",3182,7440
"AIR   ","V88888888_0",3183,7440
"AIR   ","V88888888_0",3184,7440
"GROUND","V88888888_0",3185,7441
"AIR   ","V888888883_1",3186,7442
"AIR   ","V888888883_1",3187,7442
"AIR   ","V888888883_1",3188,7442
"AIR   ","V888888883_1",3189,7442
"AIR   ","V888888883_1",3190,7442
"AIR   ","V888888883_1",3191,7442
"AIR   ","V888888883_1",3192,7442
"AIR   ","V888888883_1",3193,7442
"AIR   ","V888888883_1",3194,7442
