"PLANTPRODCUST_ID","PRODUCT_ID","PLANT_LOCATION_ID","CUSTOMER"
3651,1699676,14,"Customer_27"
3652,1699844,14,"Customer_27"
3653,1699135,14,"Customer_27"
3654,1699283,14,"Customer_27"
3655,1699369,14,"Customer_27"
3656,1699268,14,"Customer_27"
3657,1699583,14,"Customer_27"
3658,1699586,14,"Customer_27"
3659,1699562,14,"Customer_27"
3660,1699564,14,"Customer_27"
3661,1699561,14,"Customer_27"
3662,1699380,14,"Customer_27"
3663,1699290,14,"Customer_27"
3664,1699285,14,"Customer_27"
3665,1698913,14,"Customer_27"
3666,1699246,14,"Customer_27"
3667,1699591,14,"Customer_27"
3668,1699239,14,"Customer_27"
3669,1699792,14,"Customer_27"
3670,1699315,14,"Customer_27"
3671,1699318,14,"Customer_27"
3672,1699241,14,"Customer_27"
3673,1698988,14,"Customer_27"
3674,1698977,14,"Customer_27"
3675,1699798,14,"Customer_27"
3676,1699794,14,"Customer_27"
3677,1699836,14,"Customer_27"
3678,1699329,14,"Customer_27"
3679,1699325,14,"Customer_27"
3680,1699249,14,"Customer_27"
3681,1699689,14,"Customer_27"
3682,1699625,14,"Customer_27"
3683,1699416,14,"Customer_27"
3684,1699418,14,"Customer_27"
3685,1699326,14,"Customer_27"
3686,1699419,14,"Customer_27"
3687,1699546,14,"Customer_27"
3688,1699417,14,"Customer_27"
3689,1699553,14,"Customer_27"
3690,1699556,14,"Customer_27"
3691,1699552,14,"Customer_27"
3692,1699524,14,"Customer_27"
3693,1699308,14,"Customer_27"
3694,1699188,14,"Customer_27"
3695,1699682,14,"Customer_27"
3696,1699022,14,"Customer_27"
3697,1699674,14,"Customer_27"
3698,1699675,14,"Customer_27"
3699,1699540,14,"Customer_27"
3700,1699548,14,"Customer_27"
3701,1699834,14,"Customer_27"
3702,1699697,14,"Customer_27"
3703,1699573,14,"Customer_27"
3704,1699539,14,"Customer_27"
3705,1699575,14,"Customer_27"
3706,1699571,14,"Customer_27"
3707,1699574,14,"Customer_27"
3708,1699576,14,"Customer_27"
3709,1699567,14,"Customer_27"
3710,1699691,14,"Customer_27"
3711,1699690,14,"Customer_27"
3712,1699515,14,"Customer_27"
3713,1699842,14,"Customer_27"
3714,1699841,14,"Customer_27"
3715,1699283,14,"Customer_22"
3716,1699361,14,"Customer_22"
3717,1699696,14,"Customer_22"
3718,1699231,14,"Customer_22"
3719,1699694,14,"Customer_22"
3720,1699665,14,"Customer_22"
3721,1698930,14,"Customer_22"
3722,1699792,14,"Customer_22"
3723,1699794,14,"Customer_22"
3724,1699557,14,"Customer_22"
3725,1699670,14,"Customer_22"
3726,1699540,14,"Customer_22"
3727,1699372,14,"Customer_22"
3728,1699539,14,"Customer_22"
3729,1684170,15,"Customer_13"
3730,1692724,27,"Customer_15"
3731,1692722,27,"Customer_21"
3732,1692737,27,"Customer_21"
3733,1692723,27,"Customer_21"
3734,1692656,27,"Customer_21"
3735,1692708,27,"Customer_21"
3736,1692731,27,"Customer_21"
3737,1686435,27,"Customer_21"
3738,1696533,27,"Customer_21"
3739,1691393,27,"Customer_21"
3740,1680246,23,"Customer_42"
3741,1680245,23,"Customer_42"
3742,1666957,23,"Customer_35"
3743,1689457,23,"Customer_35"
3744,1666994,23,"Customer_35"
3745,1661119,23,"Customer_09"
3746,1674635,23,"Customer_09"
3747,1675810,23,"Customer_09"
3748,1682594,23,"Customer_18"
3749,1685329,23,"Customer_18"
3750,1685332,23,"Customer_18"
3751,1621717,23,"Customer_13"
3752,1680249,23,"Customer_33"
3753,1682594,23,"Customer_33"
3754,1671247,23,"Customer_33"
3755,1685952,23,"Customer_33"
3756,1685963,23,"Customer_33"
3757,1677229,23,"Customer_33"
3758,1650400,23,"Customer_33"
3759,1655985,23,"Customer_33"
3760,1685333,23,"Customer_33"
3761,1617826,23,"Customer_33"
3762,1666958,23,"Customer_33"
3763,1689460,23,"Customer_33"
3764,1682594,23,"Customer_28"
3765,1656969,23,"Customer_28"
3766,1671248,23,"Customer_28"
3767,1671246,23,"Customer_28"
3768,1671247,23,"Customer_28"
3769,1685952,23,"Customer_28"
3770,1677229,23,"Customer_28"
3771,1637055,23,"Customer_28"
3772,1650404,23,"Customer_28"
3773,1686657,23,"Customer_28"
3774,1621717,23,"Customer_28"
3775,1655985,23,"Customer_28"
3776,1685329,23,"Customer_28"
3777,1617826,23,"Customer_28"
3778,1666957,23,"Customer_28"
3779,1699265,14,"Customer_42"
3780,1699526,14,"Customer_42"
3781,1699525,14,"Customer_42"
3782,1699700,14,"Customer_42"
3783,1699022,14,"Customer_42"
3784,1699674,14,"Customer_42"
3785,1699345,14,"Customer_42"
3786,1699540,14,"Customer_42"
3787,1699368,14,"Customer_42"
3788,1699372,14,"Customer_42"
3789,1699220,14,"Customer_42"
3790,1699575,14,"Customer_42"
3791,1699537,14,"Customer_42"
3792,1699574,14,"Customer_42"
3793,1699576,14,"Customer_42"
3794,1699567,14,"Customer_42"
3795,1699841,14,"Customer_42"
3796,1699166,14,"Customer_25"
3797,1699591,14,"Customer_25"
3798,1699465,14,"Customer_25"
3799,1699242,14,"Customer_25"
3800,1699799,14,"Customer_25"
3801,1699552,14,"Customer_25"
3802,1693117,14,"Customer_25"
3803,1699172,14,"Customer_25"
3804,1699173,14,"Customer_25"
3805,1699184,14,"Customer_25"
3806,1699353,14,"Customer_25"
3807,1699298,14,"Customer_25"
3808,1699345,14,"Customer_25"
3809,1699368,14,"Customer_25"
3810,1699697,14,"Customer_25"
3811,1698924,14,"Customer_25"
3812,1698997,14,"Customer_25"
3813,1650905,14,"Customer_13"
3814,1620510,14,"Customer_13"
3815,1700382,14,"Customer_13"
3816,1696074,14,"Customer_13"
3817,1696073,14,"Customer_13"
3818,1685214,14,"Customer_13"
3819,1700106,27,"Customer_16"
3820,1697884,27,"Customer_16"
3821,1702653,27,"Customer_16"
3822,1702654,27,"Customer_16"
3823,1699336,27,"Customer_16"
3824,1702652,27,"Customer_16"
3825,1699337,27,"Customer_16"
3826,1697883,27,"Customer_16"
3827,1700035,27,"Customer_16"
3828,1696799,27,"Customer_16"
3829,1697317,27,"Customer_16"
3830,1696798,27,"Customer_16"
3831,1699333,14,"Customer_42"
3832,1699268,14,"Customer_42"
3833,1699584,14,"Customer_42"
3834,1699562,14,"Customer_42"
3835,1699564,14,"Customer_42"
3836,1699561,14,"Customer_42"
3837,1699793,14,"Customer_42"
3838,1700980,14,"Customer_42"
3839,1699792,14,"Customer_42"
3840,1699314,14,"Customer_42"
3841,1699315,14,"Customer_42"
3842,1699312,14,"Customer_42"
3843,1699795,14,"Customer_42"
3844,1699797,14,"Customer_42"
3845,1699371,14,"Customer_42"
3846,1699836,14,"Customer_42"
