Order_ID,Order_Date,Orig_Port,Carrier,TPT_Day_Count,Service_Level,Ship_Ahead_Day_Count,Ship_Late_Day_Count,Customer,Product_ID,Plant_Code,Dest_Port,Unit_Quant,Weight
1447220211,5/26/13,PORT04,V444_0,2,DTP,0,3,V555555555_27,1699952,PLANT03,PORT09,251,0.110640177
1447220212,5/26/13,PORT04,V444_0,2,DTP,0,3,V555555555_27,1699952,PLANT03,PORT09,525,9.031376052
1447220231,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699952,PLANT03,PORT09,521,7.781692452
1447204419,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699952,PLANT03,PORT09,1244,35.88005902
1447200008,5/26/13,PORT04,V444_0,2,DTP,0,3,V555555555_27,1699952,PLANT03,PORT09,794,18.58754974
1447158161,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699952,PLANT03,PORT09,303,2.286563659
1447173735,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699952,PLANT03,PORT09,1250,36.88005902
1447147779,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699952,PLANT03,PORT09,310,2.434083895
1447204418,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,517,9.27092844
1447185918,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,342,2.67240286
1447199997,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,4313,133.9705116
1447194769,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,442,4.124078488
1447200007,5/26/13,PORT04,V444_0,2,DTP,0,3,V555555555_27,1699948,PLANT03,PORT09,840,15.95821074
1447187419,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,1099,28.19614655
1447200004,5/26/13,PORT04,V444_0,2,DTP,0,3,V555555555_27,1699948,PLANT03,PORT09,2051,61.73709883
1447200006,5/26/13,PORT04,V444_0,2,DTP,0,3,V555555555_27,1699948,PLANT03,PORT09,2062,58.73709883
1447211823,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,731,13.87967518
1447185214,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,379,4.124078488
1447173733,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,694,14.19705116
1447152916,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699948,PLANT03,PORT09,1737,45.89507455
1447204420,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699953,PLANT03,PORT09,751,15.45610726
1447178872,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699953,PLANT03,PORT09,2319,59.82442906
1447158162,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699953,PLANT03,PORT09,326,0.164561073
1447173734,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699953,PLANT03,PORT09,770,15.45610726
1447220230,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1699950,PLANT03,PORT09,1493,19.97007789
1447326104,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1697081,PLANT03,PORT09,668,3.719872982
1447346548,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1697081,PLANT03,PORT09,2306,18.92709871
1447160861,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1697080,PLANT03,PORT09,2333,12.85156155
1447165087,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1697085,PLANT03,PORT09,806,2.24329579
1447231024,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677889,PLANT03,PORT09,390,0.809622739
1447344086,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677889,PLANT03,PORT09,313,0.086745293
1447212630,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677889,PLANT03,PORT09,487,1.156603913
1447231022,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1297,3.755310607
1447209474,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,374,0.297450345
1447209561,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1493,4.313030004
1447373530,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,496,0.669263277
1447152415,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,942,2.305240175
1447361719,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,955,2.334985209
1447348969,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1511,4.461755177
1447231021,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,862,2.156515002
1447209473,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,703,1.524433019
1447373529,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,551,0.892351035
1447348971,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1228,3.606585435
1447189397,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,474,0.70644457
1447187236,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,323,0.223087759
1447306628,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1476,4.536117763
1447152774,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1142,3.060020425
1447269558,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1037,2.677053106
1447348980,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,409,0.520538104
1447286447,5/26/13,PORT04,V444_0,2,DTP,0,0,V555555555_27,1677878,PLANT03,PORT09,1175,3.439269615
